,I,aVR,V1,V4,II,aVL,V2,III,aVF,V3,V6
0,-0.023404255319148935,-0.03829787234042553,0.002127659574468085,-0.04468085106382979,0.023206751054852322,0.027426160337552744,-0.05485232067510549,-0.01059322033898305,-0.1843220338983051,-0.023305084745762712,-0.0423728813559322
1,-0.021481762487841505,-0.052489305308776935,0.004296001666306386,-0.04249726840007333,0.024942384278775497,0.020605913625720607,-0.058505371120130364,-0.009557160776028948,-0.18485453247389405,-0.02530855516820359,-0.042372921447795746
2,-0.021243351677834987,-0.08785967367159375,0.004297975731544578,-0.04257328298786784,0.025413834458332344,0.015771754096250094,-0.059251654765619985,-0.017161525776609447,-0.17919024488646093,-0.026289534486641352,-0.04237278393019282
3,-0.021213177505570828,-0.13530323476410405,0.0038976528913110585,-0.04256779104725806,0.025330019841648562,0.012403823889911873,-0.05906309824949179,-0.03006042722666526,-0.17389463641069017,-0.029817509675686405,-0.04237320142053785
4,-0.021190288102820046,-0.16063562015538638,0.006353645527649806,-0.042450024596769644,0.025295464806641035,0.011865543987952016,-0.05912955597360994,-0.047867844718283405,-0.17352316852868244,-0.03134043052144642,-0.04237193066870667
5,-0.022095199621650827,-0.24141856989300906,0.00685125170837567,-0.0429945966745115,0.025318738544965396,0.001721557406094942,-0.05875726737238082,-0.054043410950016725,-0.17310350357513563,-0.035404181459994084,-0.042375091981792394
6,-0.01846470752492889,-0.29570274570129657,0.001766966381468467,-0.03956773549268588,0.025312269136283226,-0.011062078232955876,-0.0595569067622624,-0.06053429449790155,-0.16989940333247297,-0.04732015412327325,-0.042369956324743115
7,-0.012014599940467377,-0.3719332579228792,-0.006341570982198848,-0.03799018995059917,0.025346783719213985,-0.012522177391465784,-0.06268618104453054,-0.08836614015409047,-0.16703301318269098,-0.051366529916052804,-0.0423680697357058
8,-0.00908364436951936,-0.41341390359583347,-0.015423757163908793,-0.03857651289958549,0.025285090271666998,-0.01652636915734247,-0.06577618678879933,-0.10164589438049113,-0.16416708157964233,-0.050805175220894026,-0.042423763621831034
9,-0.005851970346377702,-0.46782317289438974,-0.029535471198519556,-0.03404391642887879,0.02520399591020394,-0.016870870422453846,-0.06864504402313729,-0.10660770338316243,-0.16132981139270863,-0.0508585342426264,-0.04214003501523745
10,-0.003852021690776958,-0.5058187949622857,-0.02969867796277712,-0.03877988218591918,0.02571281516138922,-0.016896897149470114,-0.07159156288535151,-0.11941914287787399,-0.1606903593873929,-0.050382803515140975,-0.04318069484205333
11,-0.00427939924014164,-0.5397809478305059,-0.029532851040342225,-0.037219721014739596,0.025146232283451822,-0.01687737665827578,-0.07436634364337795,-0.11945790466881022,-0.16108725511037944,-0.04658989706180804,-0.03978048932255887
12,-0.002505499861039119,-0.5480106570502128,-0.031941761760634235,-0.033722362782151065,0.022134813216376455,-0.016834996802011937,-0.07789951600320237,-0.12332573694208837,-0.16103505065702498,-0.04421853943697913,-0.0329600838705634
13,0.008720211711815052,-0.5618851930885636,-0.03921379247438443,-0.033701118873277626,0.02095460090880372,-0.017091318928387243,-0.0801854375426916,-0.12318957181256071,-0.1610521468639295,-0.035451183196873376,-0.03411380487717147
14,0.018642400373281257,-0.5534360321595625,-0.03809805474038384,-0.03673704340506879,0.02113669975916634,-0.015201409351869522,-0.07950036159459214,-0.12005758527047505,-0.16095456627490962,-0.03214284773795818,-0.038082186727467764
15,0.01725646440836087,-0.5343782341536958,-0.0382282441034243,-0.038100201310596486,0.018486611693986015,-0.0068188831184284975,-0.08388309889685996,-0.11843479199360267,-0.1608244185379701,-0.02318862263804171,-0.03505013480792605
16,0.013965114018004625,-0.506959013755982,-0.03871562167257317,-0.04198647589617506,0.016431934873133897,-0.0004064139862027746,-0.08909540417676355,-0.1186527352359836,-0.16220218686496268,-0.02116751863046231,-0.03343722898744249
17,0.011311348452214586,-0.4919362520699984,-0.03466601560039273,-0.0424383425116588,0.016793375818428373,4.492473137471893e-05,-0.08858002569882042,-0.11864353298349038,-0.16607655357233309,-0.017373406129104933,-0.034074120892358346
18,0.007540279559633371,-0.4515082488779184,-0.03395369574989837,-0.04689674520530038,0.016980951492775682,4.8022651251123735e-06,-0.09065343881360985,-0.11902119257881456,-0.17182247422321079,-0.012582119201044824,-0.03378848311613396
19,0.0012034159138812654,-0.4135040777250204,-0.03395113171847756,-0.047254858442105724,0.01686650605786121,-9.858672545954477e-05,-0.09333987357000324,-0.12328283726715908,-0.17612782299151059,-0.007880268559399817,-0.034025093152697146
20,-0.005488278242346956,-0.3633667006014564,-0.02906698619418562,-0.051527441723889296,0.016898309677679225,0.0007724920494326845,-0.0929330799059437,-0.12275876788595469,-0.17809101730495136,-0.0029578841914926074,-0.03392594367257444
21,-0.010477768257134975,-0.3119618044236016,-0.02483734739405321,-0.050923330641543675,0.016740289835682265,0.005238079849281439,-0.09227068717905788,-0.12291509526371,-0.17999943281744096,0.0003362724702265338,-0.030200016893235433
22,-0.012874788867024629,-0.26786291488139036,-0.028093986083166943,-0.05113348767155503,0.016997622839639084,0.0005921919252375039,-0.0941073929454717,-0.12286503530592313,-0.18705936710615093,2.1746379295663486e-05,-0.029375764625073835
23,-0.01300425979516065,-0.17028682277639592,-0.03759556958902385,-0.05091008113587804,0.017427042407054862,-0.007296647507334923,-0.09710002832310453,-0.12291574518838398,-0.19510336969447334,-0.00044195534139571964,-0.029769397738386594
