,I,aVR,V1,V4,II,aVL,V2,V5,III,aVF,V3,V6
0,-0.049783549783549784,-0.09956709956709957,0.004329004329004329,-0.09090909090909091,-0.0670995670995671,-0.03463203463203463,-0.08658008658008658,0.09956709956709957,0.047619047619047616,-0.06926406926406926,0.06060606060606061,0.09956709956709957
1,-0.05165702323717304,-0.09891559773313606,0.004329004539439035,-0.09088424361943005,-0.06005414256691431,-0.033982921564608935,-0.08678373851375176,0.09937042076641904,0.042878420490462796,-0.06957981550145377,0.06062034463230583,0.09958175919703746
2,-0.05387654376762267,-0.0949462834474379,0.004329003279237762,-0.09103309039361132,-0.06262202247415125,-0.02999928447987193,-0.0854717391899075,0.10064064779377269,0.04481829205309055,-0.0757325981833181,0.060534699076686405,0.09949386156021912
3,-0.0627749773337529,-0.0948935019726516,0.0043290099369847415,-0.09024745723479137,-0.07158746638070268,-0.030021881772270338,-0.08189857586396217,0.10443429088102692,0.04587592675445247,-0.08606311373787279,0.06098543893416322,0.09995645378704873
4,-0.06785107273601267,-0.09720756971122373,0.004328979236818784,-0.09533416824021047,-0.07574459533161516,-0.0327668803796942,-0.08190023959373226,0.10341833047232266,0.04528957113640784,-0.09531307400617962,0.058151563211761834,0.09706844466468076
5,-0.06827678219061462,-0.08042084347965565,0.004329097679916798,-0.10327123440079113,-0.08126890132028756,-0.03491915283353678,-0.08535880107819996,0.10673019262242663,0.048092546411474486,-0.10870072137740733,0.05587204574548855,0.09499368552394176
6,-0.07992671389214068,-0.06213597595596719,0.004328740660522761,-0.10396617768771536,-0.08237415512491848,-0.034578983807035814,-0.08673382877129308,0.11173232852205607,0.04728113634640528,-0.1202464080941213,0.05665404920023562,0.09518938494433098
7,-0.08655400586304995,-0.05200751864342251,0.004329269896653562,-0.10389315047328455,-0.08224436634730815,-0.03463956418651417,-0.08657367198300793,0.1168547483501251,0.05194066661667811,-0.12545575455205474,0.05197595867975773,0.09527388681560521
8,-0.0865647895210307,-0.05206332750416468,0.004332425312265342,-0.10389342284468743,-0.0822478351187019,-0.03491862703907634,-0.0865753085984307,0.11752227558106108,0.05162727989146481,-0.13011763031353596,0.051608782994116614,0.09063317520722036
9,-0.08664070890440785,-0.05189935906139826,0.0042960602305099,-0.10390180155289067,-0.08225268781426649,-0.031963724964684755,-0.0865823033301219,0.12644548576888337,0.05413267980028188,-0.1295323511049408,0.047088296418857464,0.09100876545382147
10,-0.08624145694696035,-0.05196391067587354,0.004523692436780686,-0.10386840508849851,-0.08225058834192113,-0.017505915506225614,-0.08657930012719868,0.12502370915372304,0.06159758274126825,-0.13155893102688598,0.04813076528153355,0.09097060735876618
11,-0.08873064402590118,-0.05193598561739801,0.003413200092889589,-0.10402375562191046,-0.0822512039580117,-0.008089844546370167,-0.08658084975706772,0.12681467964513968,0.06006004409623394,-0.13460404987479305,0.04515872943527727,0.09048771481385594
12,-0.0912508604816291,-0.05198141726863508,0.010322057004290322,-0.10340258278261928,-0.08225106041748467,-0.00082091247015655,-0.08657771825886208,0.11707347257331904,0.06341105527284616,-0.13412038039394375,0.04303894442921358,0.09393028826025485
13,-0.09085216037593528,-0.05434925153986841,0.012985457255808833,-0.10760899451183699,-0.08225107516944603,0.002847894324085597,-0.0865871506926729,0.10831347528684904,0.06889122823279137,-0.13421047197973443,0.04323924629825836,0.0956589547757531
14,-0.09091469765897767,-0.07330173279441975,0.017063221897121537,-0.108132352538036,-0.08225110268315267,0.017078085720935013,-0.08656953413790204,0.10833581211368351,0.06926673113159525,-0.1341985656975848,0.04335979453752298,0.09103381393832718
15,-0.09090948275451835,-0.08526857872647853,0.017266909638429355,-0.11280284434056227,-0.08225114525761153,0.022678177641602116,-0.08651746058658,0.10353156655254431,0.06928199744719074,-0.13419881881296697,0.038706128909012975,0.08602129643352519
16,-0.09091144065839052,-0.12199863767964227,0.01734708362697395,-0.11949803740417446,-0.08225013397952484,0.03727666741841555,-0.08734928460333936,0.09849863763903957,0.06923898908016253,-0.1341992850141144,0.03907605467328842,0.08190806948967923
17,-0.09088979081834744,-0.12618099690051907,0.017305869547672742,-0.13126587961216132,-0.08225737853102633,0.047582675586043795,-0.09146282652781206,0.09486377785144667,0.0693694310798218,-0.13419908865460653,0.03892224729440398,0.08237711048978866
18,-0.09100926685200675,-0.13738006201529568,0.017318471829358296,-0.12910591553056674,-0.08221930391882136,0.06545285500501598,-0.09036079825251193,0.09533262365251005,0.06880399768216414,-0.13419914524665416,0.03899275561451874,0.0821065037879875
19,-0.09048132849901552,-0.165167955666052,0.017316144907329297,-0.13278248971019882,-0.08238424176950171,0.08368945961866232,-0.09376291735902768,0.09521826772843342,0.07246380118009374,-0.13419913204567985,0.03886958854702721,0.08271385886775597
20,-0.09404871093040418,-0.18771827439486383,0.017313811762142046,-0.1343627615338729,-0.0817937633996393,0.08947632827591821,-0.09545420883217558,0.09524135189887296,0.07372614391319723,-0.1341991343461618,0.039220354214045926,0.0785581923073195
21,-0.09568787345106446,-0.20315360252313105,0.017321023797657653,-0.13425198903376687,-0.08623708392620719,0.10746026374953103,-0.09520171734322949,0.09523782563246591,0.07359136217443532,-0.13419913444829565,0.03485600770951464,0.07789009949996648
22,-0.09517509292206572,-0.2144195951668723,0.017322570079888827,-0.13437424878013954,-0.08660265346804513,0.12182323212799294,-0.09519578039400733,0.09523817379473373,0.07356446811921825,-0.13419913600372613,0.030134603413577113,0.07790565770280494
23,-0.11357626080176908,-0.2478446625963477,0.017156209995473168,-0.13823504776411932,-0.0913729177385622,0.14367574267025676,-0.09593854955592919,0.09523621359426673,0.07387753839694829,-0.1341991139107303,0.030391338745388345,0.07792994300423077
24,-0.11298764861041954,-0.25597881116225074,0.01858061359928599,-0.13361706989558356,-0.08967902318746807,0.18516505554437515,-0.09971964449092484,0.09525100648336854,0.0836621774233266,-0.13419925944288116,0.03023572735465188,0.07792014900316477
25,-0.1184079156885579,-0.25528994148853407,0.0217098919323741,-0.13435242395565142,-0.08617498405451063,0.18567107449998602,-0.10142832859028131,0.09517240506618956,0.09197872024820723,-0.13419853146867744,0.03050947154087283,0.07792043786235044
26,-0.1262091747472043,-0.255372037555233,0.02408197129336805,-0.13416619809664143,-0.08658247587085403,0.20827401044085694,-0.10425746028429159,0.09551402573080832,0.09076257773554905,-0.13420153304114357,0.028260526941764504,0.07793056102161439
27,-0.13042586948974902,-0.2556069613166424,0.026380724178518812,-0.13420288594278415,-0.08691529674463712,0.2211916546267639,-0.10394099144362269,0.09254009412559382,0.09078990753370962,-0.13419158881531879,0.018454258256183513,0.07789639900849091
28,-0.12978661053528204,-0.25513782521555994,0.025619001427334753,-0.13420349069506451,-0.08309681172791845,0.22062417830574702,-0.10363731711422787,0.08342059175249728,0.09515890825672718,-0.1342123286038941,0.017339994520365436,0.0779572640131985
29,-0.12987563372460775,-0.2644606134353802,0.03028903298857665,-0.13420245452998505,-0.07804103911630213,0.2253321994024837,-0.10827041062492074,0.07348608511991812,0.10438065079146966,-0.13425023477364245,0.012487933636813426,0.07264083763986763
30,-0.12987188474338734,-0.2718979860999435,0.03054987786838623,-0.13406439511141482,-0.07305350639179505,0.23252481218615864,-0.10812924510173383,0.06868460618455534,0.10376746766497964,-0.1334710716967613,0.0083766180777064,0.05876868546422644
