,I,aVR,V1,V4,II,aVL,V2,III,aVF,V3,V6
0,-0.017699115044247787,0.061946902654867256,-0.04424778761061947,0.15486725663716813,-0.002183406113537118,0.019650655021834062,0.010917030567685589,0.056768558951965066,0.06986899563318777,0.056768558951965066,-0.010917030567685589
1,-0.01770238276478053,0.06585692005490958,-0.040250277531972495,0.15492319851089492,-0.0005848826919367508,0.022035918215856307,0.0086700383723648,0.05676846594813496,0.06986899563319776,0.06126945513604567,-0.00865224280808027
2,-0.01768287632511122,0.061583274893868674,-0.04503059424302921,0.15458863767302777,-0.004578878981664422,0.021129319263052608,0.00874613660176637,0.05676902254116217,0.06986899563313799,0.061081395039904354,-0.008834804583478635
3,-0.018052276394332906,0.06167846350055969,-0.041960351974688594,0.15665326456439346,-0.005556511772579481,0.02631987701721076,0.008802180329187101,0.05676607662657034,0.06986899563345461,0.06115216271891624,-0.008326858325082974
4,-0.03101093689346899,0.06442176346914516,-0.041972736732764464,0.15938286303523763,-0.011661104429077687,0.03986681410032011,0.008391746125951144,0.05677972329816533,0.06986899563198463,0.061125165816293646,-0.011227271332373905
5,-0.04685046102555782,0.06663906243328195,-0.0444117618047779,0.16046619983535293,-0.012981140978870195,0.05180843275080888,0.010032222542245945,0.05672658097174335,0.06986899563773483,0.061160780209737926,-0.013044961819020377
6,-0.05166587436183647,0.06642028154886849,-0.04478365613493488,0.14857731375386102,-0.016398538800492694,0.06786967287222684,-0.0020992221788316877,0.05689048866924957,0.06986899561980518,0.061064476138934363,-0.01645324809488688
7,-0.06150265758758132,0.06629408768789659,-0.03572991859286609,0.13782439972796998,-0.02172208227071317,0.07402491543009525,-0.008558564763249073,0.05661603838547575,0.06986899565143245,0.06121553971072362,-0.02163056390434288
8,-0.06202433853677512,0.07107195131351296,-0.02522232740246399,0.1233825482646811,-0.021814605800489554,0.07892858462827938,-0.013214178433567182,0.06669169391923353,0.06986899576439362,0.061986870375744116,-0.026674511743842038
9,-0.06676985644083741,0.0704476923413229,-0.011964598019015607,0.12431743533735613,-0.02165295637761303,0.08335325796343643,-0.013840501416058502,0.08042533505638123,0.06986899419818719,0.0761409650749771,-0.030273525860198963
10,-0.06623189180383075,0.07244677923793856,-0.003886579596311537,0.12274285593440624,-0.023262149849351377,0.08223062816330048,-0.017700463411014843,0.0831290662037706,0.06986900447856455,0.08002331249332816,-0.03477298288580825
11,-0.06640977645262904,0.07564440919294355,0.00525615295483307,0.11681641099385977,-0.026646942614018492,0.08708011705096659,-0.01914676955434728,0.08292936000160464,0.0698689527269913,0.08483148808374158,-0.045026384768213225
12,-0.066362913056316,0.07513626664306856,0.00713078990440536,0.11524846534255682,-0.02610591337632054,0.09198216395752506,-0.024559844671040394,0.08297784417921439,0.06986916986081272,0.09294257387586266,-0.043378973155101724
13,-0.06637337308420123,0.07523428698320263,0.009190080067784177,0.11162741044104289,-0.026217089294065018,0.09488681465883408,-0.029826870654234887,0.08296803017323391,0.06986841959015104,0.09999602240174071,-0.043717498659744156
14,-0.06637143503030948,0.07522029393726493,0.008655802590362966,0.11051297958355422,-0.026199128462576625,0.09621590594788851,-0.030640814586069903,0.08296957227869192,0.069870240083767,0.10047259028016307,-0.04366281010767379
15,-0.06637169497501268,0.07522098269518,0.01344890055500404,0.11061682343319237,-0.026200765143409122,0.09606713937155864,-0.030572209015961475,0.08296944606557977,0.06987065053472391,0.10044148124987004,-0.04366779405849271
16,-0.0663716812391822,0.07522137887053366,0.012983694976012294,0.11058921233595624,-0.02620100472111476,0.09595346854684321,-0.030562482875416765,0.08296941525478822,0.06982928412850942,0.1004363057503532,-0.04366849081094742
17,-0.0663717446216109,0.07522122565683594,0.014700863648879313,0.11089105303940369,-0.026200779466464513,0.09705744983917841,-0.030569454869413214,0.08296947222283801,0.07015268484035682,0.10041611483377605,-0.04366806097197515
18,-0.06637127891642647,0.07522109052877099,0.018145850898121818,0.10881899827831579,-0.02620114173942516,0.10090630224827964,-0.030567818781228374,0.08296924710088709,0.06801769003819483,0.10054640096872942,-0.0436677593662093
19,-0.06637363719458092,0.07522188222285317,0.017600965637670985,0.10578362313963179,-0.02619975774237544,0.10032343801517511,-0.03056497221366519,0.08297021836348804,0.06510739330417384,0.09997563627095095,-0.043669854748093186
