,I,aVR,V1,V4,III
0,0.09267241379310345,-0.017241379310344827,-0.01293103448275862,-0.028017241379310345,-0.05485232067510549
1,0.09488559967349292,-0.017245264411847705,-0.01293103445637694,-0.020578031628909796,-0.05051443155695712
2,0.09480489883314308,-0.01722235265328664,-0.012931034611294884,-0.018858443400264116,-0.05068453865358715
3,0.09482427808101242,-0.017346276309682006,-0.012931033770955948,-0.005280651366401233,-0.050605050159683515
4,0.0948771667240065,-0.016365541345738543,-0.01293103793797504,0.08485197163483511,-0.05069776228688102
5,0.09461338107197428,-0.006163380008641284,-0.01293101951490846,0.16653858513958794,-0.050382848114083965
6,0.09560808289897707,0.00677521894886133,-0.012931092886346696,0.20238171091072857,-0.051504582621882185
7,0.08787341920193878,0.00897520167293834,-0.012930832924365249,0.24322662035469736,-0.04315880530949466
8,0.0820111435836904,0.008368669759457981,-0.012931604572932558,0.2759844479205248,-0.04219880315099824
9,0.08194713204905615,0.01290752476678747,-0.012930128356787828,0.3352727042153677,-0.03739892728130729
10,0.08131679580665603,0.01797392179722468,-0.012927524867594532,0.3700359922886761,-0.03423948141176881
11,0.07728700668671896,0.02758193773898202,-0.012976988542474185,0.42997316388545886,-0.028739093410448023
12,0.07674852068144124,0.03870798935254655,-0.012627267890476166,0.45254357852711685,-0.015065344378033186
13,0.06873552067889588,0.05050801506339006,-0.014735790184683462,0.4954875017042131,-0.01735569863133065
14,0.06172762021297302,0.051520629200927114,-0.015694498252663155,0.5259208375235805,-0.016558845949968242
15,0.05690620311956177,0.05416730227182162,-0.012439122101829878,0.5282907037933898,-0.017593221724155703
16,0.05584228817251502,0.059760911283641964,-0.013033076372437849,0.5429640164000209,-0.00882416439943895
17,0.05611299110501063,0.06030215026092687,-0.012912996709746515,0.5494653801081193,-0.008498873985768495
18,0.05159355596434273,0.06456011043418278,-0.012933356425216277,0.5653210626916846,-0.008544472277590955
19,0.05108891079787823,0.07358268595393454,-0.012930999572416878,0.5732929401930478,-0.007333144717046386
20,0.04692571741707563,0.07384538711742962,-0.012930929542754113,0.5732672217803495,-0.0037632518455809325
21,0.04754474397123189,0.07813476814347149,-0.012931081759329013,0.5732017421294632,-0.004327807890850076
22,0.04738357160568725,0.07726766680009874,-0.012931019263536144,0.5740333075309759,-0.004199045629732969
23,0.047417770110984074,0.07907915139222446,-0.012931038793615787,0.5767844605888846,-0.004216358395111401
24,0.047420167478738395,0.08806487413847341,-0.012931032857140359,0.5740875408502464,-0.004233674446983056
25,0.047397864323023044,0.09084690119818845,-0.012931037068051281,0.5784939009996563,-0.004234861071453291
26,0.047399902381269475,0.09059377674283355,-0.01293102621857695,0.5754206169988919,-0.0037828143291982457
27,0.04785913970017747,0.08634508467046505,-0.0129310581824063,0.570099412770333,0.0006593823993127132
28,0.05214437989921943,0.07721646082866002,-0.012930993744831103,0.568582689005088,-0.0016627758022807135
29,0.05159319553285406,0.0777375232341317,-0.012930914919009847,0.5695722999253163,-0.004610154069359784
30,0.05178624469401651,0.0776663445751977,-0.012932792773955587,0.5606424242383613,-0.004135211510111249
31,0.05159284726289351,0.07660042752775006,-0.012919137780375059,0.5555444049375554,-0.004234625789410562
32,0.052166026827519515,0.06818497827569461,-0.01299433212723586,0.5416690710191523,-0.004217423691234833
33,0.04799555310666802,0.06408800566327143,-0.01263791799332843,0.5305580989724858,-0.004219446340975569
34,0.047371196517669696,0.06475125440852005,-0.014931278570002045,0.5135816490594831,-0.004219526403309158
35,0.04739907640925912,0.0646613269457213,-0.020681935743969464,0.5032066285000361,-0.004219084083377013
36,0.047463317829224395,0.06463993389958998,-0.021305430290396322,0.49024177223522547,-0.00422108330882687
37,0.04713746404364687,0.06438006427481366,-0.025452451139642993,0.4838397518177128,-0.004211485563892095
